dataset,map4,morgan
B-raf,0.686401503258022,0.7319027124415443
B-raf,0.7122755704213677,0.7277692997775821
B-raf,0.6796542229586737,0.7585865031447785
B-raf,0.6986001787853882,0.750468633046596
B-raf,0.6883820412053998,0.727569290447865
B-raf,0.6890823662299449,0.7529551975009625
B-raf,0.6966907099889637,0.7709901990412521
B-raf,0.7008918970173814,0.7035438659558709
B-raf,0.7034094377724862,0.7796644084894103
B-raf,0.715071733734699,0.7610458694437116
Caspase,0.7892299383127162,0.8073228685265121
Caspase,0.8172418280403013,0.8249619043270858
Caspase,0.8311464721566924,0.8042050584139049
Caspase,0.7666757706610579,0.8162797404480929
Caspase,0.7880821525603181,0.8256353456717107
Caspase,0.8329416414166089,0.8297586813631909
Caspase,0.8018845213954915,0.8274377898171366
Caspase,0.790864758252292,0.8106655196026927
Caspase,0.7638849272031921,0.7770078081680565
Caspase,0.7897163273426269,0.827450214589736
Monoamine,0.4419491101238845,0.5911314084833946
Monoamine,0.4151954989859423,0.57228229434294
Monoamine,0.4493636900381226,0.5702643859191694
Monoamine,0.45424595457481,0.4798401605637371
Monoamine,0.4024431931902407,0.5988924939402509
Monoamine,0.5102827715163613,0.5874815579543451
Monoamine,0.5217806423573162,0.6164279143254764
Monoamine,0.453900651365685,0.5597956590817067
Monoamine,0.412374124483312,0.6177416866600005
Monoamine,0.5606938144854312,0.5855001346512829
Ephrin,0.5136525621380867,0.5912617725959375
Ephrin,0.44700727356081416,0.5679284418929981
Ephrin,0.5287068348394293,0.5903161284030801
Ephrin,0.512666000941304,0.6010624956392168
Ephrin,0.4709010599615498,0.6222303317245619
Ephrin,0.4476969225953927,0.6024974783389667
Ephrin,0.5262429384151526,0.6073575999364793
Ephrin,0.4965724163823622,0.5970225306002981
Ephrin,0.4885632119722063,0.6207024102584098
Ephrin,0.4771937328879766,0.5673067968402038
Acetylcholinesterase,0.6159371658635578,0.7290768837275439
Acetylcholinesterase,0.631771159490111,0.6738941538673586
Acetylcholinesterase,0.6304117881866398,0.6929144833330114
Acetylcholinesterase,0.6475068269179833,0.7160465377094201
Acetylcholinesterase,0.6081210412761078,0.6831605745568966
Acetylcholinesterase,0.5980151555804942,0.6412208841019844
Acetylcholinesterase,0.5773515363190922,0.6833449741518094
Acetylcholinesterase,0.582735191011174,0.6644684678336641
Acetylcholinesterase,0.5995208510530212,0.6818781277757935
Acetylcholinesterase,0.5986882997596861,0.6910016827753714
Vanilloid,0.2393044331093861,0.4095447304553609
Vanilloid,0.3489699089849272,0.4395738643138527
Vanilloid,0.2229258119420172,0.3973289002950411
Vanilloid,0.24811711390988755,0.4252962848330189
Vanilloid,0.4108869519561447,0.4646964488619882
Vanilloid,0.2592367244969345,0.3895148813494024
Vanilloid,0.3419532938713313,0.4535111262450344
Vanilloid,0.2772465111414999,0.3836111129091713
Vanilloid,0.4216673452906662,0.43514004150141183
Vanilloid,0.2936422223602833,0.4264472406873933
A2a,0.4926542488408266,0.5680307242587281
A2a,0.5752371425623671,0.5729070979379092
A2a,0.5188642270280881,0.36147205314488573
A2a,0.43545981307776827,0.4572627664171761
A2a,0.334577925106992,0.4477579657531388
A2a,0.1991511553751836,0.4891985287840737
A2a,0.7337471667171316,0.8076910398240198
A2a,0.5571962186625314,0.6597814273475566
A2a,0.5689183820629478,0.8078953097574146
A2a,0.31727206819606824,0.4619581283217111
ABL1,0.6278569027813796,0.6225481278100522
ABL1,0.4462067594927331,0.5814223571656597
ABL1,0.4501545787848008,0.5663868136312498
ABL1,0.3437861817792429,0.5162997741400419
ABL1,0.5132093566670813,0.6367224146299117
ABL1,0.4490961474658336,0.5471334747134307
ABL1,0.5617442571346112,0.673748819416655
ABL1,0.5097757244514938,0.5484874870294671
ABL1,0.5551444093116928,0.6729867991137428
ABL1,0.524286628382231,0.6061285617908572
COX-1,0.10361429680005084,0.21710451948098952
COX-1,0.27182462751039826,0.4035332843795002
COX-1,0.21563696703535484,0.23513280359247424
COX-1,0.2484910142325045,0.31868429938384235
COX-1,0.32280763879043817,0.33827518039671456
COX-1,0.26246790775028583,0.28485327697623497
COX-1,0.2553640783934377,0.4250494486528451
COX-1,0.2740717521704009,0.3565882084286628
COX-1,0.2597930785467748,0.35637786750351097
COX-1,0.22731318976342185,0.3092618898002977
Dihydrofolate,0.4440543584152203,0.5006295809369081
Dihydrofolate,0.3664437195792512,0.3594663915740021
Dihydrofolate,0.4021992213021295,0.508455645258338
Dihydrofolate,0.5546560143467131,0.5544948549156979
Dihydrofolate,0.5129942438467965,0.5547081263660428
Dihydrofolate,0.5574377862887007,0.5923263374171973
Dihydrofolate,0.3607227946381129,0.5009882139315357
Dihydrofolate,0.4468562265459187,0.5712224279769234
Dihydrofolate,0.4748687712367559,0.3837954254179908
Dihydrofolate,0.4853051967638655,0.45870034292414
opioid,0.6521181563404417,0.6647781967226349
opioid,0.6892696042479138,0.7031804703903033
opioid,0.6615654584741721,0.6848968015842429
opioid,0.5448114167599656,0.5698587842179762
opioid,0.6765191829969459,0.7187440651175153
opioid,0.6856281458664693,0.7060137546374778
opioid,0.5642702909471258,0.5090687374341138
opioid,0.572243789699652,0.6535821635709372
opioid,0.5991935137090715,0.6850212573906154
opioid,0.6253493840108213,0.5621144092583037
COX-2,0.4520596182090031,0.5551666263945425
COX-2,0.5463763645863667,0.5745572712105202
COX-2,0.4842191345491922,0.5507966575218133
COX-2,0.4735497965720923,0.574652066797547
COX-2,0.5096701272808865,0.5473974034442157
COX-2,0.48614678380986603,0.5656619196927477
COX-2,0.4537280156579754,0.4814477186277954
COX-2,0.5218739926995284,0.5564008778520773
COX-2,0.4038346629101735,0.497379972672131
COX-2,0.5313854124179904,0.5714237432778959
Glycogen,0.5769928568061129,0.6165188820408114
Glycogen,0.4028487051150478,0.4893497648334178
Glycogen,0.3959578635532296,0.5195744013257715
Glycogen,0.4616900762615154,0.5459217334529567
Glycogen,0.4703978806269001,0.5535918424713879
Glycogen,0.4739910308769907,0.5392245858150566
Glycogen,0.5057264452873423,0.5439490014485447
Glycogen,0.4611605207922365,0.5297339231077333
Glycogen,0.4704918510892329,0.5715611496497599
Glycogen,0.4204060320684291,0.5401586737040583
Glucocorticoid,0.534101729521794,0.6061752974331143
Glucocorticoid,0.5374104452054602,0.5941796652068101
Glucocorticoid,0.4481358133492169,0.5574088239171466
Glucocorticoid,0.5184146069220499,0.5762303754281406
Glucocorticoid,0.4277959612832136,0.5310082109557352
Glucocorticoid,0.5327610184296936,0.6220695401881329
Glucocorticoid,0.5554197203600781,0.6106199617232027
Glucocorticoid,0.5306769017571991,0.548030499080558
Glucocorticoid,0.5169608662574776,0.5415953338353291
Glucocorticoid,0.552909481142577,0.6303165944268342
Aurora-A,0.5833322536291314,0.6589623823573492
Aurora-A,0.5482505276071497,0.6637946774920509
Aurora-A,0.4776995471477705,0.6009281579527923
Aurora-A,0.6407643685003439,0.6953340396400809
Aurora-A,0.5890355639491298,0.655372473350575
Aurora-A,0.5448121673598552,0.688979202387086
Aurora-A,0.5959946292107341,0.6547671860660114
Aurora-A,0.5621477589417899,0.6761179418827736
Aurora-A,0.5903430515005638,0.6718797780247365
Aurora-A,0.5887367697988231,0.6636840705552596
LCK,0.5165438148725533,0.5895376939168131
LCK,0.5521446437379887,0.5826408328830047
LCK,0.5652964768704666,0.5486993424945248
LCK,0.4401565277762862,0.5167269163266976
LCK,0.4988637870932462,0.4306870636492641
LCK,0.5345867577639415,0.5951244618844767
LCK,0.5334546081778493,0.5106064797605486
LCK,0.4946378418951034,0.5701565308447838
LCK,0.5001759405763824,0.5679266981355965
LCK,0.5015787739171617,0.5809277229469316
erbB1,0.6580509366911832,0.6969625364244221
erbB1,0.6829790249963492,0.7250159487540991
erbB1,0.6981047556861661,0.6997557270464771
erbB1,0.6999733519913403,0.7220096771350987
erbB1,0.6717618569228783,0.7107774529223075
erbB1,0.6763922593532139,0.7046642376109833
erbB1,0.6677329060702109,0.7008353309440642
erbB1,0.7006129834776684,0.7173563081098948
erbB1,0.6927670226001215,0.7029459595440589
erbB1,0.7011858632442618,0.7280957989354324
Cannabinoid,0.6102358184890885,0.6702143974675558
Cannabinoid,0.6096588350720602,0.6416580060088477
Cannabinoid,0.6538596481939121,0.6998212322669704
Cannabinoid,0.5512914671140695,0.5773337501162277
Cannabinoid,0.6575522828618336,0.6947077282219143
Cannabinoid,0.58784651854921,0.603888641503376
Cannabinoid,0.6164524553978343,0.692335774018168
Cannabinoid,0.5473785725948832,0.6176684584894625
Cannabinoid,0.5809373916260516,0.5921587492949094
Cannabinoid,0.5304775876519765,0.6067816424180796
HERG,0.49018777547375,0.5661841403670484
HERG,0.4540456021272136,0.5319034445339358
HERG,0.4543403291993626,0.5072073042322448
HERG,0.4542896592334293,0.5142893257964029
HERG,0.471388766976401,0.5262942909180923
HERG,0.4960634523279728,0.5791357570948703
HERG,0.5046483860867745,0.5731395051339914
HERG,0.44472283184611616,0.5342776185490491
HERG,0.4978488031263822,0.5523591363209186
HERG,0.4701009583532165,0.5076875957286963
JAK2,0.5592682875761374,0.6641555580110946
JAK2,0.6451266623809321,0.7209564369630597
JAK2,0.6328970246154649,0.6794728858780217
JAK2,0.6210506081862127,0.7163652844808592
JAK2,0.5854916736047296,0.6644042687412801
JAK2,0.615659329218766,0.7140598779737908
JAK2,0.6008120997854656,0.6964427871768692
JAK2,0.5814022086848991,0.6659650722526209
JAK2,0.5661039585934577,0.6086098555876737
JAK2,0.628859268093348,0.6926948774397704
Carbonic,0.7523753005327685,0.7778652664237925
Carbonic,0.8065629445117702,0.8131214227823775
Carbonic,0.6758821559416245,0.7449535238699084
Carbonic,0.6648515055931086,0.7271823979785351
Carbonic,0.6881024550256198,0.7313494145238356
Carbonic,0.7257975207299698,0.7635825326600505
Carbonic,0.7643032380392186,0.7107083315836693
Carbonic,0.7357367792752044,0.7928239617271207
Carbonic,0.7218991301691469,0.7683624688906483
Carbonic,0.7189767452385123,0.7727854966568182
Coagulation,0.4514242700470438,0.5421864768536333
Coagulation,0.5207926790654149,0.5927122108105454
Coagulation,0.5323466106763737,0.5773411658320764
Coagulation,0.4008996089465992,0.51947560485995
Coagulation,0.43237822533994574,0.5620945973640745
Coagulation,0.38732134848537536,0.4960568048750941
Coagulation,0.5270394512803512,0.5652867770266812
Coagulation,0.51220612971785,0.5684378135301903
Coagulation,0.496059629220706,0.5369193166574528
Coagulation,0.5413961264821421,0.5632199229346778
Estrogen,0.7371126923432513,0.8001832702500207
Estrogen,0.7353397789016842,0.7681333128905397
Estrogen,0.7747976403984925,0.8222223968777876
Estrogen,0.6475820602456377,0.7155275692592935
Estrogen,0.7411646302402346,0.7821179931332551
Estrogen,0.6616398890642916,0.7550317385600358
Estrogen,0.7507118085703408,0.7616505138813308
Estrogen,0.7096944192613135,0.7454809919095041
Estrogen,0.7438228246585268,0.7860297366072133
Estrogen,0.7061506769657013,0.7827241295153144
Dopamine,0.5002695932821762,0.5872235738410934
Dopamine,0.1707684191074541,0.5380801741740642
Dopamine,0.4012092248934896,0.5550184523436963
Dopamine,0.31865465320492936,0.3579610299575261
Dopamine,0.422519912221206,0.529462722648155
Dopamine,0.498435813114465,0.5344542890547215
Dopamine,0.3314179451211955,0.4648196244352847
Dopamine,0.2847319873721971,0.5514591394243216
Dopamine,0.4381546467122922,0.4660770340650477
Dopamine,0.4150348531263955,0.467375273656592
